,C,degree,gamma,kernel,score
0,0.1,2,scale,linear,0.7412500000000001
1,0.1,2,scale,rbf,0.76625
2,0.1,2,scale,poly,0.5775000000000001
3,0.1,2,auto,linear,0.7412500000000001
4,0.1,2,auto,rbf,0.76625
5,0.1,2,auto,poly,0.5737500000000001
6,0.1,2,1,linear,0.7412500000000001
7,0.1,2,1,rbf,0.64125
8,0.1,2,1,poly,0.63625
9,0.1,2,0.1,linear,0.7412500000000001
10,0.1,2,0.1,rbf,0.76625
11,0.1,2,0.1,poly,0.5575
12,0.1,3,scale,linear,0.7412500000000001
13,0.1,3,scale,rbf,0.76625
14,0.1,3,scale,poly,0.7000000000000001
15,0.1,3,auto,linear,0.7412500000000001
16,0.1,3,auto,rbf,0.76625
17,0.1,3,auto,poly,0.7
18,0.1,3,1,linear,0.7412500000000001
19,0.1,3,1,rbf,0.64125
20,0.1,3,1,poly,0.74625
21,0.1,3,0.1,linear,0.7412500000000001
22,0.1,3,0.1,rbf,0.76625
23,0.1,3,0.1,poly,0.6975
24,0.1,4,scale,linear,0.7412500000000001
25,0.1,4,scale,rbf,0.76625
26,0.1,4,scale,poly,0.5900000000000001
27,0.1,4,auto,linear,0.7412500000000001
28,0.1,4,auto,rbf,0.76625
29,0.1,4,auto,poly,0.59125
30,0.1,4,1,linear,0.7412500000000001
31,0.1,4,1,rbf,0.64125
32,0.1,4,1,poly,0.7675
33,0.1,4,0.1,linear,0.7412500000000001
34,0.1,4,0.1,rbf,0.76625
35,0.1,4,0.1,poly,0.55125
36,0.1,5,scale,linear,0.7412500000000001
37,0.1,5,scale,rbf,0.76625
38,0.1,5,scale,poly,0.6325000000000001
39,0.1,5,auto,linear,0.7412500000000001
40,0.1,5,auto,rbf,0.76625
41,0.1,5,auto,poly,0.62875
42,0.1,5,1,linear,0.7412500000000001
43,0.1,5,1,rbf,0.64125
44,0.1,5,1,poly,0.775
45,0.1,5,0.1,linear,0.7412500000000001
46,0.1,5,0.1,rbf,0.76625
47,0.1,5,0.1,poly,0.6012500000000001
48,1,2,scale,linear,0.74125
49,1,2,scale,rbf,0.8275
50,1,2,scale,poly,0.6137500000000001
51,1,2,auto,linear,0.74125
52,1,2,auto,rbf,0.8275
53,1,2,auto,poly,0.61375
54,1,2,1,linear,0.74125
55,1,2,1,rbf,0.8637499999999999
56,1,2,1,poly,0.6337499999999999
57,1,2,0.1,linear,0.74125
58,1,2,0.1,rbf,0.82125
59,1,2,0.1,poly,0.6112500000000001
60,1,3,scale,linear,0.74125
61,1,3,scale,rbf,0.8275
62,1,3,scale,poly,0.7137499999999999
63,1,3,auto,linear,0.74125
64,1,3,auto,rbf,0.8275
65,1,3,auto,poly,0.7175
66,1,3,1,linear,0.74125
67,1,3,1,rbf,0.8637499999999999
68,1,3,1,poly,0.7550000000000001
69,1,3,0.1,linear,0.74125
70,1,3,0.1,rbf,0.82125
71,1,3,0.1,poly,0.7225
72,1,4,scale,linear,0.74125
73,1,4,scale,rbf,0.8275
74,1,4,scale,poly,0.675
75,1,4,auto,linear,0.74125
76,1,4,auto,rbf,0.8275
77,1,4,auto,poly,0.6737500000000001
78,1,4,1,linear,0.74125
79,1,4,1,rbf,0.8637499999999999
80,1,4,1,poly,0.7562500000000001
81,1,4,0.1,linear,0.74125
82,1,4,0.1,rbf,0.82125
83,1,4,0.1,poly,0.64625
84,1,5,scale,linear,0.74125
85,1,5,scale,rbf,0.8275
86,1,5,scale,poly,0.7050000000000001
87,1,5,auto,linear,0.74125
88,1,5,auto,rbf,0.8275
89,1,5,auto,poly,0.70375
90,1,5,1,linear,0.74125
91,1,5,1,rbf,0.8637499999999999
92,1,5,1,poly,0.7575
93,1,5,0.1,linear,0.74125
94,1,5,0.1,rbf,0.82125
95,1,5,0.1,poly,0.68125
96,10,2,scale,linear,0.74
97,10,2,scale,rbf,0.865
98,10,2,scale,poly,0.6412500000000001
99,10,2,auto,linear,0.74
100,10,2,auto,rbf,0.8625
101,10,2,auto,poly,0.63875
102,10,2,1,linear,0.74
103,10,2,1,rbf,0.865
104,10,2,1,poly,0.63625
105,10,2,0.1,linear,0.74
106,10,2,0.1,rbf,0.85625
107,10,2,0.1,poly,0.63625
108,10,3,scale,linear,0.74
109,10,3,scale,rbf,0.865
110,10,3,scale,poly,0.7449999999999999
111,10,3,auto,linear,0.74
112,10,3,auto,rbf,0.8625
113,10,3,auto,poly,0.7474999999999999
114,10,3,1,linear,0.74
115,10,3,1,rbf,0.865
116,10,3,1,poly,0.7550000000000001
117,10,3,0.1,linear,0.74
118,10,3,0.1,rbf,0.85625
119,10,3,0.1,poly,0.7387499999999999
120,10,4,scale,linear,0.74
121,10,4,scale,rbf,0.865
122,10,4,scale,poly,0.6875
123,10,4,auto,linear,0.74
124,10,4,auto,rbf,0.8625
125,10,4,auto,poly,0.6900000000000001
126,10,4,1,linear,0.74
127,10,4,1,rbf,0.865
128,10,4,1,poly,0.7424999999999999
129,10,4,0.1,linear,0.74
130,10,4,0.1,rbf,0.85625
131,10,4,0.1,poly,0.6799999999999999
132,10,5,scale,linear,0.74
133,10,5,scale,rbf,0.865
134,10,5,scale,poly,0.73875
135,10,5,auto,linear,0.74
136,10,5,auto,rbf,0.8625
137,10,5,auto,poly,0.7312500000000001
138,10,5,1,linear,0.74
139,10,5,1,rbf,0.865
140,10,5,1,poly,0.7637499999999999
141,10,5,0.1,linear,0.74
142,10,5,0.1,rbf,0.85625
143,10,5,0.1,poly,0.72375
144,60,2,scale,linear,0.74
145,60,2,scale,rbf,0.85625
146,60,2,scale,poly,0.6325000000000001
147,60,2,auto,linear,0.74
148,60,2,auto,rbf,0.85875
149,60,2,auto,poly,0.6325000000000001
150,60,2,1,linear,0.74
151,60,2,1,rbf,0.865
152,60,2,1,poly,0.6325000000000001
153,60,2,0.1,linear,0.74
154,60,2,0.1,rbf,0.85125
155,60,2,0.1,poly,0.635
156,60,3,scale,linear,0.74
157,60,3,scale,rbf,0.85625
158,60,3,scale,poly,0.74625
159,60,3,auto,linear,0.74
160,60,3,auto,rbf,0.85875
161,60,3,auto,poly,0.7449999999999999
162,60,3,1,linear,0.74
163,60,3,1,rbf,0.865
164,60,3,1,poly,0.75375
165,60,3,0.1,linear,0.74
166,60,3,0.1,rbf,0.85125
167,60,3,0.1,poly,0.7424999999999999
168,60,4,scale,linear,0.74
169,60,4,scale,rbf,0.85625
170,60,4,scale,poly,0.72375
171,60,4,auto,linear,0.74
172,60,4,auto,rbf,0.85875
173,60,4,auto,poly,0.7212500000000001
174,60,4,1,linear,0.74
175,60,4,1,rbf,0.865
176,60,4,1,poly,0.7462500000000001
177,60,4,0.1,linear,0.74
178,60,4,0.1,rbf,0.85125
179,60,4,0.1,poly,0.6975
180,60,5,scale,linear,0.74
181,60,5,scale,rbf,0.85625
182,60,5,scale,poly,0.76
183,60,5,auto,linear,0.74
184,60,5,auto,rbf,0.85875
185,60,5,auto,poly,0.7675
186,60,5,1,linear,0.74
187,60,5,1,rbf,0.865
188,60,5,1,poly,0.7637499999999999
189,60,5,0.1,linear,0.74
190,60,5,0.1,rbf,0.85125
191,60,5,0.1,poly,0.7662500000000001
